Wavelength (nm);Optical Density;% Transmission
365;5.878437;0.000132301
366;5.858345;0.000138565
367;5.914723;0.000121696
368;5.84591;0.00014259
369;5.846073;0.000142537
370;5.82731;0.00014883
371;5.797995;0.000159223
372;5.821481;0.000150841
373;5.839887;0.000144582
374;5.746874;0.000179113
375;5.74972;0.000177943
376;5.781575;0.000165358
377;5.745132;0.000179832
378;5.909405;0.000123196
379;5.884565;0.000130447
380;5.864463;0.000136627
381;5.948177;0.000112674
382;5.917496;0.000120922
383;5.910277;0.000122948
384;5.917856;0.000120821
385;5.906989;0.000123883
386;5.922029;0.000119666
387;5.907392;0.000123768
388;5.88283;0.000130969
389;5.911602;0.000122574
390;5.934199;0.000116359
391;5.966396;0.000108045
392;5.887048;0.000129704
393;5.890507;0.000128675
394;5.927431;0.000118187
395;5.894485;0.000127501
396;5.874012;0.000133656
397;5.857766;0.00013875
398;5.939722;0.000114889
399;5.909667;0.000123121
400;5.895677;0.000127152
401;5.940267;0.000114745
402;5.944345;0.000113672
403;5.903278;0.000124946
404;5.910564;0.000122867
405;5.865952;0.00013616
406;5.900443;0.000125764
407;5.915053;0.000121604
408;5.883212;0.000130854
409;5.869875;0.000134935
410;5.857179;0.000138938
411;5.857255;0.000138914
412;5.912023;0.000122455
413;5.887492;0.000129571
414;5.927511;0.000118165
415;5.939183;0.000115032
416;5.867697;0.000135614
417;5.898806;0.000126239
418;5.924582;0.000118965
419;5.875146;0.000133307
420;5.868905;0.000135237
421;5.862528;0.000137237
422;5.896204;0.000126998
423;5.906978;0.000123886
424;5.87598;0.000133052
425;5.90745;0.000123751
426;5.965162;0.000108352
427;5.969278;0.00010733
428;5.915261;0.000121546
429;5.930491;0.000117357
430;5.904775;0.000124516
431;5.877611;0.000132553
432;5.894794;0.000127411
433;5.909047;0.000123297
434;5.830597;0.000147708
435;5.845967;0.000142572
436;5.862013;0.0001374
437;5.878533;0.000132272
438;5.85286;0.000140327
439;5.906587;0.000123998
440;5.869324;0.000135106
441;5.840989;0.000144215
442;5.811569;0.000154323
443;5.820239;0.000151273
444;5.81455;0.000153267
445;5.797978;0.000159229
446;5.787554;0.000163097
447;5.734171;0.000184429
448;5.739294;0.000182266
449;5.716235;0.000192205
450;5.674434;0.000211625
451;5.700603;0.000199249
452;5.69625;0.000201257
453;5.712184;0.000194006
454;5.671445;0.000213086
455;5.663173;0.000217184
456;5.724056;0.000188775
457;5.64385;0.000227065
458;5.649916;0.000223915
459;5.579646;0.000263241
460;4.787086;0.00163273
461;3.984987;0.0103517
462;3.316188;0.048285
463;2.493935;0.3206749
464;1.801816;1.5782798
465;0.789841;16.2240397
466;0.30194;49.8953416
467;0.08261;82.6780072
468;0.019364;95.6392144
469;0.014834;96.6420202
470;0.014662;96.6803024
471;0.015206;96.5592758
472;0.014969;96.6119838
473;0.014187;96.7861022
474;0.019861;95.5298289
475;0.082175;82.760861
476;0.291582;51.0996588
477;1.087895;8.1677982
478;2.160796;0.6905641
479;2.990281;0.1022631
480;3.498232;0.0317518
481;4.061909;0.00867144
482;4.934962;0.00116155
483;5.524152;0.000299122
484;5.675571;0.000211071
485;5.683878;0.000207072
486;5.728207;0.000186979
487;5.744883;0.000179936
488;5.708193;0.000195797
489;5.714986;0.000192759
490;5.730988;0.000185786
491;5.755051;0.000175772
492;5.73598;0.000183662
493;5.807698;0.000155705
494;5.848511;0.000141739
495;5.87069;0.000134682
496;5.955952;0.000110675
497;5.89057;0.000128656
498;5.929371;0.00011766
499;5.948481;0.000112595
500;5.907987;0.000123598
501;5.894528;0.000127489
502;5.960338;0.000109563
503;5.976398;0.000105585
504;5.948582;0.000112569
505;5.919188;0.000120451
506;5.948868;0.000112495
507;5.956822;0.000110453
508;5.976829;0.00010548
509;5.92302;0.000119393
510;5.949191;0.000112411
511;5.993627;0.000101478
512;5.923066;0.000119381
513;5.960988;0.000109399
514;5.965025;0.000108386
515;5.941796;0.000114342
516;5.945831;0.000113284
517;5.934541;0.000116268
518;5.856801;0.000139059
519;6.007322;9.83282E-05
520;5.87262;0.000134085
521;5.859831;0.000138092
522;5.981895;0.000104257
523;5.895985;0.000127062
524;5.906206;0.000124106
525;5.87294;0.000133986
526;5.833133;0.000146848
527;5.765237;0.000171697
528;5.845082;0.000142862
529;5.816098;0.000152722
530;5.9391;0.000115054
531;5.848368;0.000141786
532;5.962517;0.000109014
533;5.900043;0.00012588
534;5.883438;0.000130786
535;5.903823;0.000124789
536;5.88025;0.00013175
537;5.91413;0.000121862
538;5.95115;0.000111905
539;5.88046;0.000131686
540;5.951491;0.000111817
541;5.971069;0.000106889
542;5.94379;0.000113818
543;5.911126;0.000122708
544;5.894125;0.000127607
545;5.951673;0.00011177
546;5.907919;0.000123618
547;5.911385;0.000122635
548;5.967511;0.000107768
549;5.936821;0.000115659
550;5.871662;0.000134381
551;5.944434;0.000113649
552;5.959856;0.000109684
553;5.940887;0.000114581
554;5.976176;0.000105639
555;5.941012;0.000114548
